Fecha_cotizacion;Compra;Venta
10/3/2020;59;64
11/3/2020;59;64
12/3/2020;59.5;64.5
13/3/2020;59.5;64.5
16/3/2020;59.5;64.5
17/3/2020;59.5;64.5
18/3/2020;60;65
19/3/2020;60;65
20/3/2020;60;65
25/3/2020;60.25;65.25
26/3/2020;60.25;65.25
27/3/2020;60.5;65.5
30/3/2020;60.75;65.75
1/4/2020;61;66
2/4/2020;61;66
3/4/2020;61;66
6/4/2020;61.25;66.25
7/4/2020;61.5;66.5
8/4/2020;61.5;66.5
13/4/2020;61.75;66.75
14/4/2020;61.75;66.75
15/4/2020;61.75;66.75
16/4/2020;62.25;67.25
17/4/2020;62.25;67.25
20/4/2020;62.5;67.5
21/4/2020;62.75;67.75
22/4/2020;62.75;67.75
23/4/2020;62.75;67.75
24/4/2020;63.25;68.25
27/4/2020;63.25;68.25
28/4/2020;63.5;68.5
29/4/2020;63.5;68.5
30/4/2020;63.75;68.75
4/5/2020;63.75;68.75
5/5/2020;63.75;68.75
6/5/2020;64.25;69.25
7/5/2020;64.25;69.25
8/5/2020;64.25;69.25
11/5/2020;64.25;69.25
12/5/2020;64.25;69.25
13/5/2020;64.75;69.75
14/5/2020;64.75;69.75
15/5/2020;64.75;69.75
18/5/2020;65;70
19/5/2020;65;70
20/5/2020;65;70
21/5/2020;65;70
22/5/2020;65.25;70.25
26/5/2020;65.25;70.25
27/5/2020;65.25;70.25
28/5/2020;65.25;70.25
29/5/2020;65.5;70.5
1/6/2020;65.5;70.5
2/6/2020;65.5;70.5
3/6/2020;65.5;70.5
4/6/2020;65.75;70.75
5/6/2020;65.75;70.75
8/6/2020;65.75;70.75
9/6/2020;66.5;71.5
10/6/2020;66.5;71.5
11/6/2020;66.5;71.5
12/6/2020;67;72
16/6/2020;67.25;72.25
17/6/2020;67.25;72.25
18/6/2020;67.5;72.5
19/6/2020;67.5;72.5
22/6/2020;67.5;72.5
23/6/2020;68;73
24/6/2020;68;73
25/6/2020;68;73
